docid	sentid	sent	start	finish	error	correction	tag	annotator1	10	Такие условия легко способствуют отравлению свинцем жителей поселка.	13	13	свинцем	свинцом	Infl	Annotator1
1	10	Такие условия легко способствуют отравлению свинцем жителей поселка.	6	6	свинцем	свинцом	Infl	Annotator1
1	2	Одной из самых главных экологических проблем на территории Российской Федерации является загрязнение окружющей среды тяжелыми металлами, такими как свинeц, кадмий и цинк.	13	13	окружющей	окружающей	Ortho	admin
1	25	Самый главный проект направлен на улучшение экологической ситуации и снижению риска отравления детей свинцем.	14	14	свинцем	свинцом	Infl	Annotator1
1	7	В ходе исследования было выявлено высокое содержание тяжелых металлов в воде, атмосферных осадках, почвах и растениях, что оказывает негативное влияние на флору и фауну.	8	9	в	в ходе	Constr, Transfer	Annotator1
1	24	Петр Шаров предлагает провести похожий проект и в Дальногорском районе, но для начала нужно провести ряд определенныx исследований.	4	4	провести	осуществить	Lex,, Transfer	Annotator1
1	25	Самый главный проект направлен на улучшение экологической ситуации и снижению риска отравления детей свинцем.	14	14	свинцем	свинцом	Infl	Annotator1
1	25	Самый главный проект направлен на улучшение экологической ситуации и снижению риска отравления детей свинцем.	10	10	снижению	снижение	Gov	Annotator1
1	2	Одной из самых главных экологических проблем на территории Российской Федерации является загрязнение окружющей среды тяжелыми металлами, такими как свинeц, кадмий и цинк.	13	13	загрязнение	загрязнения	Gov	Annotator1
1	11	Этот металл может сохраняться в организме человека годами и разрушать его, воздействую на нервную систему, желудожно-кишечный тракт и кроветворные органы.	12	12	воздействую	воздействуя	Syntax	Annotator1
1	14	Основной путь попадания свинца в организм - это воздушный, если воздух загрязнен частицами свинца, попавшими с дымом завода или пылью загрязненной почвы при сильном ветре.	8	8	это	 	Syntax, Insert, Transfer	Annotator1
10	1	 Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.	3	3	поехола	поехала	Ortho, S\ubst	mginazova
10	1	 Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.	11	11	Эфельную	Эйфелеву	Translit	mginazova
10	1	 Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.	20	20	циганей	цыган	Ortho, S\ubst, Infl	mginazova
10	2	Они были без домные и у них было много средств как обокрасть людей.	3	4	без	бездомные	Space, Insert	mginazova
10	2	Они были без домные и у них было много средств как обокрасть людей.	10	10	средств	способов	Lex, Transfer	mginazova
10	3	Один из них было письмо каторое держала маленькая девочка оно было на англиском языке и там написано что ей нужны деньги попасть домой.	6	6	каторое	которое	Ortho, S\ubst	mginazova
10	3	Один из них было письмо каторое держала маленькая девочка оно было на англиском языке и там написано что ей нужны деньги попасть домой.	13	13	англиском	английском	Ortho, Del	mginazova
10	3	Один из них было письмо каторое держала маленькая девочка оно было на англиском языке и там написано что ей нужны деньги попасть домой.	1	1	Один	Одним	Gov	mginazova
10	3	Один из них было письмо каторое держала маленькая девочка оно было на англиском языке и там написано что ей нужны деньги попасть домой.	17	17	написано	было написано	Tense	mginazova
10	3	Один из них было письмо каторое держала маленькая девочка оно было на англиском языке и там написано что ей нужны деньги попасть домой.	20	22	нужны	нужны деньги чтобы попасть	Constr, Del, Transfer	mginazova
10	4	Пока турист пытается прочитать это письмо група дитей окружает их и крадёт ихнену сумку или куртку.	7	7	група	группа	Ortho, Del	mginazova
10	4	Пока турист пытается прочитать это письмо група дитей окружает их и крадёт ихнену сумку или куртку.	8	8	дитей	детей	Ortho, S\ubst	mginazova
10	4	Пока турист пытается прочитать это письмо група дитей окружает их и крадёт ихнену сумку или куртку.	10	10	их	его	Ref, S\ubst, Transfer	mginazova
10	4	Пока турист пытается прочитать это письмо група дитей окружает их и крадёт ихнену сумку или куртку.	13	13	ихнену	его	Ref, Deriv, Insert	mginazova
10	5	Это происходит очень быстро даже не заметеш как быстро дети могут тебя обокрасть.	7	7	заметеш	заметишь	Ortho	mginazova
10	1	 Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.	14	14	что	чего	Gov	mginazova
10	1	 Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.	10	12	на	к Эйфелевой башне	Constr	mginazova
10	1	 Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.	19	19	количество	такого количества	Constr, Del	mginazova
10	1	 Когда я поехола в Париж и первый раз пошла на Эфельную Башню то что я не ожидала это количество циганей которые проводили своё время там.	22	25	проводили	проводили там время	WO, Idiom, Insert, Transfer	mginazova
10	5	Это происходит очень быстро даже не заметеш как быстро дети могут тебя обокрасть.	3	7	очень	так быстро что даже не заметишь	Constr	mginazova
10	5	Это происходит очень быстро даже не заметеш как быстро дети могут тебя обокрасть.	8	9	как	как	Lex, Insert	mginazova
10	5	Это происходит очень быстро даже не заметеш как быстро дети могут тебя обокрасть.	11	13	могут	тебя обкрадут	Lex	mginazova
10	2	Они были без домные и у них было много средств как обокрасть людей.	11	11	как		Lex, Insert	Annotator1
100	3	Во время СССР не было СМИ, не было журналистов, а были пропаганды центпального комитета коммунистической партии.	26	27	были	была пропаганда	N\um	emiller
100	3	Во время СССР не было СМИ, не было журналистов, а были пропаганды центпального комитета коммунистической партии.	28	28	центпального	центрального	Ortho, S\ubst	emiller
100	5	Около 40 миллиона советских людей регулярно слушали иностранные радио голоса.	10	10	миллиона	миллионов	N\um	emiller
100	5	Около 40 миллиона советских людей регулярно слушали иностранные радио голоса.	16	17	радио	радиостанции	Lex	emiller
100	5	Около 40 миллиона советских людей регулярно слушали иностранные радио голоса.	4	5	голоса	Голос Америки	N\um	emiller
100	8	Он беспокоит, потому что он чаще и чаще слышает голоса, которые хотят контролировать информацию.	15	15	слышает	слышит	Infl	emiller
100	5	Около 40 миллиона советских людей регулярно слушали иностранные радио голоса.	16	16	голоса	станции	Lex	emiller
100	7	< Что беспокоит автора в настоящее время?>.	8	8	беспокоит	беспокоится	Refl	emiller
100	8	Он беспокоит, потому что он чаще и чаще слышает голоса, которые хотят контролировать информацию.	12	14	чаще	всё чаще и чаще	Del	emiller
1003	6	Ментолитет рабства и сегрегации в США к сожалению остался, а тут, как будто, вышло солнце.	7	7	а	но и	Conj, Lex, Constr	Zosia
1005	6	Выхлопные газы имеют негативное воздействие на все элементы окружающей среды.	3	3	имеют		lex	None
1005	7	Автовыхлопы уничтожают растения, которые должны бы очищать среду и, между прочим, они становятся редкостью в крупных городах.	5	6	должны	должны 	constr	None
1005	7	Автовыхлопы уничтожают растения, которые должны бы очищать среду и, между прочим, они становятся редкостью в крупных городах.	12	13	они	становятся 	ref	None
1005	8	Чистый воздух практически не существует в крупных городах России, особенно в столице.	4	5	не	отсутствует 	lex	None
1005	6	Выхлопные газы имеют негативное воздействие на все элементы окружающей среды.	8	9	все	все-таки 	orpho	None
1005	12	Хотя фильтры не решают корень проблемы, они все таки помогают жителем больших городов получать кислород.	11	11	жителем		syntax, gov	None
1005	14	Публицисты Информационного сайта <website> думают, что источниками такого типа загрязнения являются населенные пункты, промышленность, тепловые станции и сельское хозяйство.	1	1	<		lex, calq\ue ’p\ublicists’	None
1005	14	Публицисты Информационного сайта <website> думают, что источниками такого типа загрязнения являются населенные пункты, промышленность, тепловые станции и сельское хозяйство.	2	2	<		orpho	None
1005	14	Публицисты Информационного сайта <website> думают, что источниками такого типа загрязнения являются населенные пункты, промышленность, тепловые станции и сельское хозяйство.	4	4	<		lex, Cs	None
1005	14	Публицисты Информационного сайта <website> думают, что источниками такого типа загрязнения являются населенные пункты, промышленность, тепловые станции и сельское хозяйство.	8	8	<		lex	None
1005	14	Публицисты Информационного сайта <website> думают, что источниками такого типа загрязнения являются населенные пункты, промышленность, тепловые станции и сельское хозяйство.	16	16	<		lex	None
1005	15	Радиоактивные отбросы систематично поподают в реки России, одним из примеров стала аврия Чернобыля.	3	3	систематично		lex	None
1005	15	Радиоактивные отбросы систематично поподают в реки России, одним из примеров стала аврия Чернобыля.	4	4	поподают		orpho	None
1005	15	Радиоактивные отбросы систематично поподают в реки России, одним из примеров стала аврия Чернобыля.	12	12	аврия		typo	None
1005	16	Единая Россия разработала план «Чистой воды», сутью его является «Улучшение качества питьевой воды, подаваемой населению, и доведение услуги по водоснабжению до уровня, отвечающего потребностям жизнедеятельности человека».	6	6	воды»		gov	None
